shift,question,options,answer,subject,chapter
29 Jan Shift 1,"Let x 1 ,x 2 ,…,x 10 be ten observations such that ∑1 i= 0 1 (x i −2) = 30,∑1 i= 0 1 (x i −β)2 = 98,β > 2, and their variance is 4 5 . If μ and σ2 are respectively the mean and the variance of 2(x 1 −1)+4β, 2(x 2 −1)+4β,….,2(x 10 −1)+4β, then β σ μ 2 is equal to :",(1) 100 | (2) 120 | (3) 110 | (4) 90,1,math,Statistics
29 Jan Shift 1,"Consider an A. P. of positive integers, whose sum of the first three terms is 54 and the sum of the first twenty terms lies between 1600 and 1800. Then its 11th term is :",(1) 90 | (2) 84 | (3) 122 | (4) 108,1,math,Sequences & Series
29 Jan Shift 1,The number of solutions of the equation (9 − 9 +2)(2 − 7 +3) = 0 is: x √x x √x,(1) 2 | (2) 3 | (3) 1 | (4) 4,4,math,Quadratic Equations / Algebra
29 Jan Shift 1,"Define a relation R on the interval [0, π) by xRy if and only if sec2x−tan2y = 1. Then R is : 2",(1) both reflexive and transitive but not symmetric | (2) an equivalence relation | (3) reflexive but neither symmetric not transitive | (4) both reflexive and symmetric but not transitive,2,math,Relations & Functions
29 Jan Shift 1,"Two parabolas have the same focus (4,3) and their directrices are the x-axis and the y-axis, respectively. If these parabolas intersects at the points A and B, then (AB)2 is equal to :",(1) 392 | (2) 384 | (3) 192 | (4) 96,3,math,Conic Sections (Parabola)
29 Jan Shift 1,"Let P be the set of seven digit numbers with sum of their digits equal to 11 . If the numbers in P are formed by using the digits 1,2 and 3 only, then the number of elements in the set P is :",(1) 173 | (2) 164 | (3) 158 | (4) 161,4,math,Permutation & Combination
29 Jan Shift 1,"Let → a =^i+2^j+k^ and → b = 2^i+7^j+3k^. Let L 1 : → r = (−^i+2^j+k^)+λ → a,λ ∈ R and L 2 : → r = (^j+k^)+μ → b,μ ∈ R be two lines. If the line L 3 passes through the point of intersection of L 1 and L 2, and is parallel to a→+ → b, then L 3 passes through the point :","(1) | (2) | (3) | (4) (−1,−1,1)",3,math,3D Geometry (Lines)
29 Jan Shift 1,"Let → a = 2^i−^j+3k^, → b = 3^i−5^j+k^ and → c be a vector such that → a× → c = → c× → b and (a→+c→)⋅( → b+c→) = 168. Then the maximum value of |c→|2 is :",(1) 462 | (2) 77 | (3) 154 | (4) 308 π,4,math,Vector Algebra
29 Jan Shift 1,The integral 80∫ 4 ( sinθ+cosθ )dθ is equal to : 0 9+16sin2θ,(1) 3log 4 | (2) 4log 3 e e | (3) 6log 4 | (4) 2log 3 e e ∣ ∣ 2 025,2,math,Integration
29 Jan Shift 1,"Let the ellipse E 1 : x a2 2 + y b 2 2 = 1,a > b and E 2 : x A 2 2 + y B 2 2 = 1, A < B have same eccentricity √ 1 3 . Let the product of their lengths of latus rectums be √ 32 3 , and the distance between the foci of E 1 be 4. If E 1 and E 2 meet at A,B,C and D, then the area of the quadrilateral ABCD equals :",(1) 12√6 | (2) 6√6 5 18√6 24√6 | (3) | (4) 5 5 log 128 log 5,4,math,Conic Sections (Ellipse)
29 Jan Shift 1,"Let A = [a ij ] = [ log 5 8 log 4 25 ]. If A ij is the cofactor of a ij ,C ij = ∑2 k=1 a ik A jk ,1 ≤ i,j ≤ 2, and 5 4 C = [C ij ], then 8|C| is equal to :",(1) 288 | (2) 222 | (3) 242 | (4) 262,3,math,Matrices & Determinants
29 Jan Shift 1,"Let |z 1 −8−2i| ≤ 1 and |z 2 −2+6i| ≤ 2,z 1 ,z 2 ∈ C. Then the minimum value of |z 1 −z 2 | is :",(1) 13 | (2) 10 | (3) 3 | (4) 7,4,math,Complex Numbers
29 Jan Shift 1,"Let L 1 : x− 1 1 = y − − 1 2 = z− 2 1 and L 2 : x − + 1 1 = y− 2 2 = 1 z be two lines. Let L 3 be a line passing through the point (α,β,γ) and be perpendicular to both L 1 and L 2. If L 3 intersects L 1, then |5α−11β−8γ| equals :",(1) 20 | (2) 18 | (3) 25 | (4) 16,3,math,3D Geometry (Lines)
29 Jan Shift 1,"Let M and m respectively be the maximum and the minimum values of 1+sin2x cos2x 4sin4x f(x) = sin2x 1+cos2x 4sin4x ,x ∈ R Then M4 −m4 is equal to : sin2x cos2x 1+4sin4x",,1,math,Trigonometric Functions
29 Jan Shift 1,"Let ABC be a triangle formed by the lines 7x−6y+3 = 0,x+2y−31 = 0 and 9x−2y−19 = 0. Let the point (h,k) be the image of the centroid of ΔABC in the line 3x+6y−53 = 0. Then h2 +k2 +hk is equal to:",(1) 47 | (2) 37 | (3) 36 | (4) 40,2,math,Coordinate Geometry
29 Jan Shift 1,The value of lim n→∞ (∑n k=1 k3+6 ( k k 2 + + 3 1 ) 1 ! k+5) is:,(1) 4/3 | (2) 2 | (3) 7/3 | (4) 5/3,4,math,Limits
29 Jan Shift 1,"The least value of n for which the number of integral terms in the Binomial expansion of (√3 7+1√2 11)n is 183, is :",(1) 2184 | (2) 2196 | (3) 2148 | (4) 2172 2 025,1,math,Binomial Theorem
29 Jan Shift 1,"Let y = y(x) be the solution of the differential equation cosx(log (cosx))2dy+(sinx−3ysinxlog (cosx))dx = 0,x ∈ (0, π). If y(π) = −1 , then y(π) is e e 2 4 log 2 6 e equal to : 1 2",(1) | (2) log | (3)−log | (4) log | (3)−log | (4) e e e e | (3) 1 | (4) − 1 log | (4)−log | (3) log | (4) e e e,1,math,Differential Equations
29 Jan Shift 1,"Let the line x+y = 1 meet the circle x2 +y2 = 4 at the points A and B . If the line perpendicular to AB and passing through the mid point of the chord AB intersects the circle at C and D, then the area of the quadrilateral ADBC is equal to :",(1) √14 | (2) 3√7 | (3) 2√14 | (4) 5√7,3,math,Circle
29 Jan Shift 1,"Let the area of the region {(x,y) : 2y ≤ x2 +3,y+|x| ≤ 3,y ⩾ |x−1|} be A. Then 6 A is equal to :",(1) 16 | (2) 12 | (3) 14 | (4) 18,3,math,Coordinate Geometry
29 Jan Shift 1,Let S = {x : cos−1x = π+sin−1x+sin−1(2x+1)}. Then ∑ (2x−1)2 is equal to ______. x∈ S,,5,math,Inverse Trigonometric Functions
29 Jan Shift 1,"Let f : (0,∞) → R be a twice differentiable function. If for some a ≠ 0,∫1f(λx)dλ = af(x),f","(1) = 1 and 0 f | (16) = 1 , then 16−f′( 1 ) is equal to _______. 8 16",112,math,Differential Calculus
29 Jan Shift 1,"The number of 6-letter words, with or without meaning, that can be formed using the letters of the word MATHS such that any letter that appears in the word must appear at least twice, is _______. 2 −1",,1405,math,Permutation & Combination
29 Jan Shift 1,"Let S = {m ∈ Z : Am2 +Am = 3I−A−6}, where A = [ ]. Then n(S) is equal to ______. 1 0",,2,math,Matrices & Determinants
29 Jan Shift 1,Let [t] be the greatest integer less than or equal to t. Then the least value of p ∈ N for which lim x→0+ (x([ x 1]+[ x 2]+…+[ x p])−x2([ x 1 2 ]+[ x 22 2 ]+…+[ x 92 2 ])) ≥ 1 is equal to ________. →,,24,math,Limits
29 Jan Shift 1,"An electric dipole of mass m, charge q, and length l is placed in a uniform electric field E = E 0 ^i. When the dipole is rotated slightly from its equilibrium position and released, the time period of its oscillations will be:",(1) 1 √ ml | (2) 2π√ ml 2π 2qE qE 0 0 | (3) 1 √2 ml | (4) 2π√ ml 2π qE 2qE 0 0,4,physics,Oscillations
29 Jan Shift 1,"A coil of area A and N turns is rotating with angular velocity ω in a uniform magnetic field B→ about an axis perpendicular to B→ . Magnetic flux φ and induced emfε across it, at an instant when B→ is parallel to the plane of coil, are :","(1) φ = AB,ε = 0 | (2) φ = 0,ε = 0 | (3) φ = 0,ε = NABω | (4) φ = AB,ε = NABω",3,physics,Electromagnetic Induction
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Choke coil is simply a coil having a large inductance but a small resistance. Choke coils are used with fluorescent mercury-tube fittings. If household electric power is directly connected to a mercury tube, the tube will be damaged. Reason (R): By using the choke coil, the voltage across the tube is reduced by a factor (R/√R2 +ω2L2), where ω is frequency of the supply across resistor R and inductor L . If the choke coil were not used, the voltage across the resistor would be the same as the applied voltage. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) (A) is true but (R) is false | (2) Both (A) and (R) are true and (R) is the correct explanation of (A) | (3) (A) is false but (R) is true | (4) Both (A) and (R) are true but (R) is not the correct explanation of (A),2,physics,Electromagnetic Induction
29 Jan Shift 1,"As shown below, bob A of a pendulum having massless string of length ' R ' is released from 60∘ to the vertical. It hits another bob B of half the mass that is at rest on a friction less table in the center. Assuming elastic collision, the magnitude of the velocity of bob A after the collision will be (take g as acceleration due to gravity.)",(1) 4√Rg | (2) 2√Rg 3 3 | (3) √Rg | (4) 1√Rg 3,4,physics,Laws Of Motion + Collisions
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Electromagnetic waves carry energy but not momentum. Reason (R): Mass of a photon is zero. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Both (A) and (R) are true and (R) is the correct | (2) Both (A) and (R) are true but (R) is not the explanation of (A) correct explanation of (A) | (3) (A) is false but (R) is true | (4) (A) is true but (R) is false,3,physics,Electromagnetic Waves
29 Jan Shift 1,"Two projectiles are fired with same initial speed from same point on ground at angles of (45∘ −α) and (45∘ +α), respectively, with the horizontal direction. The ratio of their maximum heights attained is : ",(1) 1−tanα 1−sin2α| (2) 1+tanα 1+sin2α 1+sin2α 1+sinα | (3) | (4) 1−sin2α 1−sinα,2,physics,Projectile Motion
29 Jan Shift 1,"If λ and K are de Broglie wavelength and kinetic energy, respectively, of a particle with constant mass. The correct graphical representation for the particle will be ",(1) | (2) | (3) | (4),2,physics,Dual Nature Of Matter And Radiation
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Emission of electrons in photoelectric effect can be suppressed by applying a sufficiently negative electron potential to the photoemissive substance. Reason (R) : A negative electric potential, which stops the emission of electrons from the surface of a photoemissive substance, varies linearly with frequency of incident radiation. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) (A) is false but (R) is true | (2) (A) is true but (R) is false | (3) Both (A) and (R) are true and (R) is the correct | (4) Both (A) and (R) are true but (R) is not the explanation of (A) correct explanation of (A),4,physics,Dual Nature Of Matter And Radiation
29 Jan Shift 1,"Consider a long straight wire of a circular cross-section (radius a) carrying a steady current I. The current is uniformly distributed across this cross-section. The distances from the centre of the wire's cross-section at which the magnetic field [inside the wire, outside the wire] is half of the maximum possible magnetic field, any where due to the wire, will be","(1) [a/4,3a/2] | (2) [a/4,2a] | (3) [a/2,2a] | (4) [a/2,3a]",3,physics,Magnetism And Matter / Current Electricity
29 Jan Shift 1,"At the interface between two materials having refractive indices n 1 and n 2, the critical angle for reflection of an em wave is θ 1C. The n 2 material is replaced by another material having refractive index n 3 such that the critical angle at the interface between n 1 and n 3 materials is θ 2C. If n 3 > n 2 > n 1 ; n n 2 = 2 5 and 3 sinθ 2C −sinθ 1C = 1 2 , then θ 1C is",(1) sin−1 | (1) | (2) sin−1 | (1) 6 3 | (3) sin−1(−5) | (4) sin−1 | (2) 6 3,3,physics,Ray Optics
29 Jan Shift 1,"Let u and v be the distances of the object and the image from a lens of focal length f. The correct graphical representation of u and v for a convex lens when |u| >, is ",(1) | (2) | (3) | (4) List-I List-II,3,physics,Ray Optics
29 Jan Shift 1,"Electricfieldinside(distance r > 0 fromcenter) (A) of auniformlychargedsphericalshellwith (I) σ/ϵ 0 surfacechargedensity σ,andradiusR. Electricfieldatdistancer>0fromauniformly (B) chargedinfiniteplanesheetwithsurface (II) σ/2ϵ 0 Match List - I with List - II. chargedensity σ. Choose Electricfieldoutside(distancer>0fromcenter) (C) of auniformlychargedsphericalshellwith (III) 0 surfacechargedensity σ,andradiusR. Electricfieldbetween 2 oppositelycharged (D) infiniteplaneparallelsheetswithuniform (IV) σR2 ϵ0r2 surfacechargedensity σ. the correct answer from the options given below :","(1) (A)-(III), (B)-(II), (C)-(IV), (D)-(I) | (2) (A)-(IV), (B)-(II), (C)-(III), (D)-(I) | (3) (A)-(II), (B)-(I), (C)-(IV), (D)-(III) | (4) (A)-(IV), (B)-(I), (C)-(III), (D)-(II)",1,physics,Electrostatics
29 Jan Shift 1,"For the circuit shown above, equivalent GATE is :",(1) OR gate | (2) NAND gate | (3) NOT gate | (4) AND gate 2 025,1,physics,Digital Electronics / Logic Gates
29 Jan Shift 1,"The expression given below shows the variation of velocity (v) with time (t), v = At2 + Bt . The dimension C+t of ABC is :",(1) [M0 L1 T−3] | (2) [M0 L2 T−2] | (3) [M0 L1 T−2] | (4) [M0 L2 T−3],4,physics,Units & Dimensions
29 Jan Shift 1,The workdone in an adiabatic change in an ideal gas depends upon only :,(1) change in its temperature | (2) change in its volume | (3) change in its pressure | (4) change in its specific heat,1,physics,Thermodynamics
29 Jan Shift 1,"The fractional compression (ΔV) of water at the depth of 2.5 km below the sea level is ______ %. Given, the V Bulk modulus of water = 2×109 N m−2 , density of water = 103 kgm−3 , acceleration due to gravity = g = 10 m s−2 .",(1) 1.25 | (2) 1.0 | (3) 1.75 | (4) 1.5,1,physics,Properties Of Matter
29 Jan Shift 1,The pair of physical quantities not having same dimensions is :,(1) Pressure and Young's modulus | (2) Surface tension and impulse | (3) Torque and energy | (4) Angular momentum and Planck's constant,2,physics,Units & Dimensions
29 Jan Shift 1,"Consider I 1 and I 2 are the currents flowing simultaneously in two nearby coils 1 & 2, respectively. If L 1 = self inductance of coil 1,M 12 = mutual inductance of coil 1 with respect to coil 2, then the value of induced emf in coil 1 will be Options",(1) ε 1 = −L 1 d d I t 2 −M 12 d d I t 1 | (2) ε 1 = −L 1 d d I t 1 −M 12 d d I t 2 | (3) ε 1 = −L 1 d d I t 1 −M 12 d d I t 1 | (4) ε 1 = −L 1 d d I t 1 +M 12 d d I t 2,2,physics,Electromagnetic Induction
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Time period of a simple pendulum is longer at the top of a mountain than that at the base of the mountain. Reason (R): Time period of a simple pendulum decreases with increasing value of acceleration due to gravity and vice-versa. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Both (A) and (R) are true and (R) is the correct | (2) (A) is true but (R) is false explanation of (A) | (3) (A) is false but (R) is true | (4) Both (A) and (R) are true but (R) is not the correct explanation of (A),1,physics,Oscillations & Gravitation
29 Jan Shift 1,"A body of mass ' m ' connected to a massless and unstretchable string goes in verticle circle of radius ' R 'under gravity g. The other end of the string is fixed at the center of circle. If velocity at top of circular path is n√gR, where, n ⩾ 1, then ratio of kinetic energy of the body at bottom to that at top of the circle is n2 n2+4",(1) | (2) n2+4 n2 n+4 n | (3) | (4) n n+4,2,physics,"Work, Power & Energy + Circular Motion"
29 Jan Shift 1,"In a hydraulic lift, the surface area of the input piston is 6 cm2 and that of the output piston is 1500 cm2 . If 100 N force is applied to the input piston to raise the output piston by 20 cm, then the work done is _______ kJ. ",,5,physics,Fluids
29 Jan Shift 1,"The coordinates of a particle with respect to origin in a given reference frame is (1,1,1) meters. If a force of → F =^i−^j+k^ acts on the particle, then the magnitude of torque (with respect to origin) in z-direction is ______.",,2,physics,System Of Particles & Rotational Motion
29 Jan Shift 1,"Two light beams fall on a transparent material block at point 1 and 2 with angle θ 1 and θ 2′ respectively, as shown in figure. After refraction, the beams intersect at point 3 which is exactly on the interface at other end of the block. Given : the distance between 1 and 2, d = 4√3 cm and θ 1 = θ 2 = cos−1( 2 n n 2 ), where refractive 1 index of the block n 2 > refractive index of the outside medium n 1, then the thickness of the block is ________ cm.",,6,physics,Ray Optics
29 Jan Shift 1,"A container of fixed volume contains a gas at 27∘C. To double the pressure of the gas, the temperature of gas should be raised to ______ ∘C.",,327,physics,Thermodynamics
29 Jan Shift 1,"The maximum speed of a boat in still water is 27 km/h. Now this boat is moving downstream in a river flowing at 9 km/h. A man in the boat throws a ball vertically upwards with speed of 10 m/s. Range of the ball as observed by an observer at rest on the river bank, is _______ cm. (Take g = 10 m/s2 ) List-I List-II",,2000,physics,Relative Motion + Projectile Motion
29 Jan Shift 1,(Complex) (Hybridisation&Magneticcharacters) (A) [MnBr ]2− (I) d2s3 &diamagnetic 4 Match List - I with List - II. (B) [FeF ]3− (II) sp3 d2 &paramagnetic 6 (C) [Co(C O ) ]3− (III) sp3 &diamagnetic 2 4 3 (D) [Ni(CO) ] (IV) sp3 &paramagnetic 4 Choose the correct answer from the options given below :,"(1) (A) −(IV),(B)−(II),(C)−(I),(D)−(III) | (2) (A)−(III),(B)−(I),(C)−(II),(D)−(IV) | (3) (A) −(IV),(B)−(I),(C)−(II),(D)−(III) | (4) (A)−(III),(B)−(II),(C)−(I),(D)−(IV)",1,chemistry,Coordination Compounds
29 Jan Shift 1,J of energy is transferred as heat to 0.5 mol of Argon gas at 298 K and 1.00 atm. The final temperature and the change in internal energy respectively are: Given : R = 8.3 J K−1 mol−1,(1) 378 K and 500 J | (2) 368 K and 500 J | (3) 348 K and 300 J | (4) 378 K and 300 J,3,chemistry,Thermodynamics
29 Jan Shift 1,"At temperature T, compound AB 2( g) dissociates as AB 2( g) ⇌ AB (g) + 1 2 B 2( g) having degree of dissociation x (small compared to unity). The correct expression for x in terms of K p and p is ",(1) √4 2K p | (2) √3 2K p p p | (3) √3 2 K2 p | (4) √K p p,3,chemistry,Chemical Equilibrium
29 Jan Shift 1,"An element ' E′ has the ionisation enthalpy value of 374 kJ mol−1 . ' E ' reacts with elements A,B,C and D with electron gain enthalpy values of −328,−349,−325 and −295 kJ mol−1 , respectively. The correct order of the products EA, EB, EC and ED in terms of ionic character is :",(1) ED > EC > EB > EA | (2) EA > EB > EC > ED | (3) EB > EA > EC > ED | (4) ED > EC > EA > EB,3,chemistry,Chemical Bonding
29 Jan Shift 1,"Total number of nucleophiles from the following is : ⊖ NH ,PhSH,(H C) S,H C = CH ,O H,H O⊕,(CH ) CO,⇌ NCH 3 3 2 2 2 3 3 2 3",(1) 7 | (2) 4 | (3) 6 | (4) 5,4,chemistry,Organic Chemistry – General Concepts
29 Jan Shift 1,The steam volatile compounds among the following are : (A) (B) (C) (D) Choose the correct answer from the options given below :,"(1) (B) and (D) Only | (2) (A) and (C) Only | (3) (A), (B) and (C) Only | (4) (A) and (B) Only",4,chemistry,Organic Chemistry – General Concepts
29 Jan Shift 1,"Given below are two statements : Statement (I): The radii of isoelectronic species increases in the order. Mg2+ < Na+ < F− < O2− Statement (II): The magnitude of electron gain enthalpy of halogen decreases in the order. Cl > F > Br > I In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Statement I is incorrect but Statement II is | (2) Statement I is correct but Statement II is correct incorrect | (3) Both Statement I and Statement II are incorrect | (4) Both Statement I and Statement II are correct 2 025,4,chemistry,Periodic Table & Properties
29 Jan Shift 1,"(Carbohydrate) (LinkageSource) (A) Amylose (I) β−C −C ,plant 1 4 Match List - I with List - II. Choose the (B) Cellulose (II) α−C −C , animal 1 4 (C) Glycogen (III) α−C −C ,α−C −C , plant 1 4 1 6 (D) Amylopectin (IV) α−C −C , plant 1 4 correct answer from the options given below :","(1) (A)-(IV), (B)-(I), (C)-(III), (D)-(II) | (2) (A)-(III), (B)-(II), (C)-(I), (D)-(IV) | (3) (A)-(II), (B)-(III), (C)-(I), (D)-(IV) | (4) (A)-(IV), (B)-(I), (C)-(II), (D)-(III)",4,chemistry,Biomolecules
29 Jan Shift 1,"The molar conductivity of a weak electrolyte when plotted against the square root of its concentration, which of the following is expected to be observed ?",(1) A small decrease in molar conductivity is | (2) Molar conductivity decreases sharply with observed at infinite dilution. increase in concentration. | (3) A small increase in molar conductivity is | (4) Molar conductivity increases sharply with observed at infinite dilution. increase in concentration.,2,chemistry,Electrochemistry
29 Jan Shift 1,The standard reduction potential values of some of the p-block ions are given below. Predict the one with the strongest oxidising capacity.,(1) E⊖ = +1.67 V | (2) E⊖ = +1.15 V Pb4+/Pb2+ Sn4+/Sn2+ | (3) E⊖ = −1.66 V | (4) E⊖ /Tl/2.26 V Al3+/Al T1,1,chemistry,Electrochemistry
29 Jan Shift 1,The product (P) formed in the following reaction is :,(1) | (2) | (3) | (4) 2 025,1,chemistry,Organic Chemistry – Reaction Mechanisms
29 Jan Shift 1,"If a 0 is denoted as the Bohr radius of hydrogen atom, then what is the de-Broglie wavelength (λ) of the electron present in the second orbit of hydrogen atom? [n : any integer] 8πa 2a",(1) 0 | (2) 0 n nπ | (3) 4n | (4) 4πa 0 πa n 0,1,chemistry,Atomic Structure
29 Jan Shift 1,Match List - I with List - II. Choose the correct answer from the options given below :,"(1) (A)-(II), (B)-(III), (C)-(IV), (D)-(I) | (2) (A)-(II), (B)-(III), (C)-(I), (D)-(IV) | (3) (A)-(III), (B)-(II), (C)-(I), (D)-(IV) | (4) (A)-(III), (B)-(II), (C)-(IV), (D)-(I) A k A+A (fast)",1,chemistry,Chemical Kinetics
29 Jan Shift 1,2 1 k −1 − The reaction A 2 +B 2 → 2AB follows the mechanism A+B k →2 AB+B (slow) The overall order of the 2 A+B → AB (fast) reaction is :,(1) 2 | (2) 2.5 | (3) 3 | (4) 1.5,4,chemistry,Chemical Kinetics
29 Jan Shift 1,"1.24 g of AX 2 (molar mass 124 g mol−1 ) is dissolved in 1 kg of water to form a solution with boiling point of 100.0156∘C, while 25.4 g∘ of AY 2 (molar mass 250 g mol−1 ) in 2 kg of water constitutes a solution with a boiling point of 100.0260∘C. K b (H 2 O) = 0.52 K kg mol−1 Which of the following is correct ?",(1) AX 2 is fully ionised while AY 2 is completely | (2) AX 2 is completely unionised while AY 2 is fully unionised. ionised. | (3) AX 2 and AY 2 (both) are completely unionised. | (4) AX 2 and AY 2 (both) are fully ionised.,1,chemistry,Solutions & Colligative Properties
29 Jan Shift 1,"Choose the correct statements. (A) Weight of a substance is the amount of matter present in it. (B) Mass is the force exerted by gravity on an object. (C) Volume is the amount of space occupied by a substance. (D) Temperatures below 0∘C are possible in Celsius scale, but in Kelvin scale negative temperature is not possible. (E) Precision refers to the closeness of various measurements for the same quantity. Choose the correct answer from the options given below :","(1) (A), (D) and (E) Only | (2) (C), (D) and (E) Only | (3) (A), (B) and (C) Only | (4) (B), (C) and (D) Only",2,chemistry,Basic Concepts Of Chemistry
29 Jan Shift 1,"The correct option with order of melting points of the pairs (Mn,Fe),(Tc,Ru) and (Re,Os) is :","(1) Fe < Mn,Ru < Tc and Re < Os | (2) Mn < Fe,Tc < Ru and Os < Re | (3) Mn < Fe,Tc < Ru and Re < Os | (4) Fe < Mn,Ru < Tc and Os < Re ∣ ∣∣ ∣ 2 025",2,chemistry,Periodic Table
29 Jan Shift 1,For a Mg Mg2+(aq) Ag+(aq) Ag the correct Nernst Equation is :,(1) E = Eo − RTln [Ag+] | (2) E = Eo + RTln [Ag+]2 cell cell 2 F [Mg2+] cell cell 2 F [Mg2+] | (3) E = Eo − RTln [Ag+]2 | (4) E = Eo − RTln [Mg2+] cell cell 2 F [Mg2+] cell cell 2 F [Ag+],2,chemistry,Electrochemistry
29 Jan Shift 1,In the following substitution reaction: product ′P′ formed is :,(1) | (2) | (3) | (4),4,chemistry,Organic Chemistry – Haloalkanes
29 Jan Shift 1,The correct increasing order of stability of the complexes based on Δ o value is : I. [Mn(CN) 6 ]3− II. [Co(CN) 6 ]4− III. [Fe(CN) 6 ]4− IV. [Fe(CN) 6 ]3−,(1) IV < III < II < I | (2) I < II < IV < III | (3) III < II < IV < I | (4) II < III < I < IV,2,chemistry,Coordination Compounds
29 Jan Shift 1,The molar mass of the water insoluble product formed from the fusion of chromite ore (FeCr 2 O 4 ) with Na 2 CO 3 in presence of O 2 is _______ gmol−1 .,,160,chemistry,General Principles Of Metallurgy
29 Jan Shift 1,"Given below are some nitrogen containing compounds Each of them is treated with HCl separately. 1.0 g of the most basic compound will consume _______ mg of HCl. (Given molar mass in gmol−1C : 12,H : 1,O : 16,Cl : 35.5)",,341,chemistry,Organic Chemistry – Amines
29 Jan Shift 1,"The sum of sigma (σ) and pi (π) bonds in Hex-1,3-dien-5-yne is _______.",,15,chemistry,Organic Chemistry – Hydrocarbons
29 Jan Shift 1,"0.1 mole of compound ' S ' will weigh _______ g. (Given molar mass in gmol−1C : 12,H : 1,O : 16)",,13,chemistry,Basic Concepts Of Chemistry
29 Jan Shift 1,"If A 2 B is 30% ionised in an aqueous solution, then the value of van't Hoff factor (i) is ______ ×10−1 .",,16,chemistry,Solutions & Colligative Properties
